Timestamp,Please mark how important each attribute is to you when rating a GF grocery product [Texture],Please mark how important each attribute is to you when rating a GF grocery product [Taste],Please mark how important each attribute is to you when rating a GF grocery product [Price],Please mark how important each attribute is to you when rating a GF grocery product [Quality],Please mark how important each attribute is to you when rating a GF grocery product [GF Reliability],What else is important to you when deciding to buy a GF grocery product?,Please mark how important each attribute is to you when rating a restaurant [Speed],Please mark how important each attribute is to you when rating a restaurant [Server's GF knowledge],Please mark how important each attribute is to you when rating a restaurant [Price],Please mark how important each attribute is to you when rating a restaurant [Overall Quality],Please mark how important each attribute is to you when rating a restaurant [GF Menu Variety],Please mark how important each attribute is to you when rating a restaurant [GF Reliability],Please mark how important each attribute is to you when rating a restaurant [Location/Distance from you],What else is important to you when deciding to eat out at a restaurant?,Please mark how important each of these features are to you [Bookmark products/restaurants],Please mark how important each of these features are to you [Search by ratings],Please mark how important each of these features are to you [Search near you],Please mark how important each of these features are to you [Mark helpful reviews],Please mark how important each of these features are to you [Ability to favorite restaurants],What other features would you like to see in the website?,Gender (Optional),Age (Optional),Reason for GF Diet (Optional)
3/1/2013 16:05:48,Somewhat important,Extremely important,Somewhat important,Somewhat important,Extremely important,,Extremely important,Extremely important,Somewhat important,Extremely important,Somewhat important,Extremely important,,Friendliness of staff,Somewhat important,Extremely important,Extremely important,Somewhat important,,,Female,37,Allergic to gluten
3/1/2013 16:05:53,,,,,,,Somewhat important,Extremely important,Somewhat important,Extremely important,Extremely important,Extremely important,,,Somewhat important,Somewhat important,Extremely important,Somewhat important,,,female,49,celiac
3/1/2013 16:06:39,Somewhat important,Extremely important,Somewhat important,Somewhat important,Extremely important,Other ingredients like dairy,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Extremely important,Extremely important,,Location and reliable overall quality,Don't care,Somewhat important,Somewhat important,Somewhat important,,,Female,46,Celiac disease
3/1/2013 16:09:20,Somewhat important,Extremely important,Extremely important,Extremely important,Extremely important,Is it certified gluten free? Is it made in a facility with wheat products? Is it afordable? ,Don't care,Extremely important,Extremely important,Extremely important,Somewhat important,Extremely important,,Does the restaurant understand cross contamination? The servers MUST be knowledgable about gluten free because if they aren't then I feel nervous about ingesting the food. ,Somewhat important,Somewhat important,Somewhat important,Somewhat important,,,,,I have celiac disease!
3/1/2013 16:09:36,Somewhat important,Extremely important,Somewhat important,Extremely important,Extremely important,Organic,Somewhat important,Extremely important,Somewhat important,Extremely important,Somewhat important,Extremely important,,Knowing they take cross contamination precautions,Somewhat important,Somewhat important,Somewhat important,Somewhat important,,Link to business website ,Female,47,Gluten sensitivity
3/1/2013 16:11:10,Extremely important,Extremely important,Somewhat important,Extremely important,Extremely important,Nutritional ,Somewhat important,Extremely important,Somewhat important,Extremely important,Extremely important,Extremely important,,"Clean, friendly staff",,Extremely important,Extremely important,Extremely important,,,Female,35,Celiac
3/1/2013 16:12:55,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,,Somewhat important,Somewhat important,Somewhat important,Extremely important,Extremely important,Extremely important,,It's important thy I can feel confident that my meal will be GF.,Somewhat important,Somewhat important,Extremely important,Extremely important,,,F,39,Food allergies
3/1/2013 16:13:19,Extremely important,Extremely important,Extremely important,Don't care,Don't care,,Somewhat important,Don't care,Somewhat important,Extremely important,Somewhat important,Don't care,,,Somewhat important,Extremely important,Extremely important,Extremely unimportant,,,Female,28,Wheat sensitivity
3/1/2013 16:16:24,Somewhat unimportant,Extremely unimportant,Somewhat unimportant,Extremely unimportant,Extremely unimportant,,Somewhat unimportant,Extremely unimportant,Somewhat unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,,,Somewhat unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,,,,,
3/1/2013 16:19:04,Extremely important,Extremely important,Somewhat important,Extremely important,Extremely important,If it is shelf stable ,Somewhat unimportant,Extremely important,Somewhat unimportant,Extremely important,Extremely important,Extremely important,,Location and if they are child friendly,Somewhat unimportant,Don't care,Extremely important,Don't care,,,Female,31,Celiacs
3/1/2013 16:26:48,Extremely unimportant,Extremely unimportant,Somewhat unimportant,Extremely unimportant,Extremely unimportant,Compareable quality to the mainstream product.,Don't care,Extremely unimportant,Somewhat unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,,,Somewhat unimportant,Somewhat unimportant,Extremely unimportant,Somewhat unimportant,,,female,40,Sensitivity. Endometriosis and PCOS....great relief when I avoid gluten.
3/1/2013 16:34:53,Somewhat important,Extremely important,Somewhat important,Extremely important,Extremely important,,Don't care,Extremely important,Somewhat important,Extremely important,Extremely important,Extremely important,,,Extremely important,Somewhat important,Extremely important,Somewhat important,,Would like to know when restaurant menu was last updated. ,Female,32,Celiacs disease
3/1/2013 16:35:20,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,,Somewhat unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,,,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,,,Female,39,Wheat allergy
3/1/2013 16:36:39,Extremely important,Extremely important,Extremely important,Extremely important,Don't care,Locally made,Somewhat important,Extremely important,Somewhat important,Extremely important,Extremely important,Extremely important,,"Not to be treated as an ""alien""
Helpful server",Extremely important,Extremely important,Extremely important,Extremely important,,menu on line,Female,,"Have Crohns, arthritis and IBD"
3/1/2013 16:38:34,Somewhat important,Extremely important,Extremely important,Extremely important,Somewhat important,nutritional value,Somewhat important,Somewhat important,Extremely important,Extremely important,Somewhat important,Somewhat important,,"nutritional value, taste",Somewhat important,Somewhat important,Extremely important,Somewhat important,,"prices, variety",female,38,to improve my overall health and help to decrease inflammation in my body and decrease the allergies i have
3/1/2013 16:43:17,Extremely important,Extremely important,Somewhat important,Somewhat important,Extremely important,"I like to buy local, organic and GMO free whenever possible.",Don't care,Extremely important,Somewhat important,Somewhat important,Somewhat important,Extremely important,,Is it better than what i can make at home...,Somewhat important,Somewhat important,Extremely important,Don't care,,,Female,30,Celiac
3/1/2013 16:45:48,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Somewhat important,Extremely important,Somewhat important,Extremely important,Extremely important,Extremely important,,,Somewhat important,Somewhat important,Somewhat important,Extremely important,,,female,32,Allergy
3/1/2013 16:55:53,Extremely important,Extremely important,Somewhat important,Somewhat important,Extremely important,,Don't care,Somewhat important,Don't care,Somewhat important,Extremely important,Extremely important,,,Somewhat important,Somewhat important,Somewhat important,Somewhat important,,,Female,53,"Gluten sensitivity, self diagnosed"
3/1/2013 17:01:21,Extremely unimportant,Extremely unimportant,Somewhat unimportant,Extremely unimportant,Extremely unimportant,No GMO's. NO preservatives.,Somewhat unimportant,Somewhat important,Somewhat unimportant,Extremely unimportant,Don't care,Somewhat important,,Ambiance. Location. Accessibility. Child friendly.,Extremely unimportant,Somewhat important,Somewhat important,Extremely important,,Info on other allergens. Many GF people have other allergies/sensitivities in addition to gluten.,Female,31,Sensitivity.
3/1/2013 17:06:43,Somewhat important,Extremely important,Somewhat important,Somewhat important,Extremely important,,Somewhat important,Extremely important,Somewhat important,Extremely important,Somewhat important,Extremely important,,,Don't care,Don't care,Extremely important,Don't care,,,Female,21,
3/1/2013 17:22:27,Extremely important,Somewhat important,Don't care,Extremely important,Extremely important,,Don't care,Somewhat important,Don't care,Extremely important,Extremely important,Extremely important,,,Somewhat important,Somewhat important,Extremely important,Somewhat important,,,female,31,I have celiac disease
3/1/2013 17:40:38,Extremely important,Extremely important,Somewhat important,Extremely important,Extremely important,mainly that it is Gluten Free reliable,Somewhat important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,,Somewhat important,Somewhat important,Somewhat important,Somewhat important,,,female,47,Celiac Disease
3/1/2013 18:10:46,,,,,,,,,,,,,,,,,,,,,,,
3/1/2013 18:16:52,Somewhat important,Extremely important,Somewhat important,Extremely important,Extremely important,Nutritional content.,Somewhat important,Somewhat important,Don't care,Extremely important,Somewhat important,Extremely important,,Not too noisy; attentive service.,Somewhat important,Somewhat important,Extremely important,Somewhat important,,Alert for new restaurants,Female,54,Celiac Disease
3/1/2013 18:26:14,Extremely important,Extremely important,Somewhat important,Extremely important,Extremely important,"Availability, appearance--does it look appetizing",Somewhat important,Extremely important,Somewhat important,Somewhat important,Extremely important,Extremely important,,"If they will accommodate me and my gf requests.  Sometimes I bring my own bun and want them to heat it up safely.  If they can do that, it goes a long way in my enjoyment of the experience.  Also, the servers need to know what is in everything and how things are prepared.  I need to know if the french fries are actually hand cut at the restaurant or if they are frozen.  It makes me really angry when they don't know or if they lie.",Don't care,Don't care,Somewhat important,Somewhat important,,,Female,31,"Gluten allergy--migraines, skin rashes, and digestive issues"
3/1/2013 18:32:23,Extremely important,Extremely important,Somewhat important,Extremely important,Extremely important,Ability to access the product,Somewhat important,Extremely important,Somewhat important,Extremely important,Somewhat important,Extremely important,,Options my daughter can eat and will enjoy,Somewhat important,Somewhat important,Somewhat important,Somewhat important,,,femal,36,My daughter is gluten intolerant.
3/1/2013 19:02:11,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,,Somewhat unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,,,Somewhat unimportant,Somewhat unimportant,Extremely unimportant,Extremely unimportant,,,female,,
3/1/2013 19:27:29,Somewhat unimportant,Extremely unimportant,Somewhat unimportant,Extremely unimportant,Extremely unimportant,Expiration date on package. Sometimes I see expired dates on GF products. Not cool.,Somewhat unimportant,Extremely unimportant,Somewhat unimportant,Extremely unimportant,Somewhat unimportant,Extremely unimportant,,Price.,Don't care,Somewhat unimportant,Extremely unimportant,Don't care,,Local availability,Female,48,Celiac Disease
3/1/2013 19:36:03,,,,,,,,,,,,,,,,,,,,,Female,42,
3/1/2013 19:43:28,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Extremely important,,Somewhat important,Extremely important,Somewhat important,Extremely important,Somewhat important,Extremely important,,,Somewhat important,Somewhat important,Extremely important,Somewhat important,,,female,,Celiac d isease
3/1/2013 19:45:29,Somewhat important,Extremely important,Somewhat unimportant,Extremely important,Extremely important,Ingredients. I don't want to eat a science project with a ton of chemicals and sugar in it.,Somewhat unimportant,Somewhat important,Somewhat important,Extremely important,Extremely important,Extremely important,,"I just won't chance a place that doesn't seem to give a crap about special diets. It's a crap shoot. Honestly, I end up cooking because the chains (except Chipotle) that support GF are far away and the local places that I REALLY want to support charge so much extra that we have to budget to go out to eat. That's not a bad thing, mind. It's like how my family did growing up. Going out becomes a treat.",Somewhat important,Extremely important,Extremely important,Extremely important,,"Supermarket reviews, since they are not created equal... even the chains. It would also be nice to have a way to collaborate to get a supermarket to consider carrying a particularly great product.",female,42,Coeliac Disease compounded by ME
3/1/2013 19:46:46,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,That I can buy the same things as everyone else,Somewhat important,Extremely important,Somewhat important,Extremely important,Extremely important,Extremely important,,Not feeling like nuisance,Extremely important,Extremely important,Extremely important,Extremely important,,Bar code scanner and getting definitive answers about whether some is gf or not,Male,23,
3/1/2013 20:12:50,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Extremely important,quantity,Somewhat important,Extremely important,Somewhat important,Somewhat important,Extremely important,Extremely important,,"atmosphere, popularity, location",Don't care,Somewhat important,Don't care,Somewhat important,,"ratings, opinions giveaways",female,47,celiac disease
3/1/2013 20:38:55,Somewhat important,Extremely important,Extremely important,Extremely important,Extremely important,,Somewhat important,Extremely important,Extremely important,Extremely important,Somewhat important,Extremely important,,,Extremely important,Somewhat important,Extremely important,Somewhat important,,GF menus and/or GF menu options,,,
3/1/2013 20:40:22,,Extremely important,Extremely important,Somewhat important,Extremely important,,Don't care,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Extremely important,,,Don't care,Don't care,Somewhat important,Don't care,,Gluten free menu listed on the website.,Female,31,Blood work stated I have an intollerance
3/1/2013 20:44:30,Extremely unimportant,Extremely unimportant,Somewhat unimportant,Extremely unimportant,Extremely unimportant,"Organic, non-GMO, additive and preservative free. Not made in china. ",Somewhat unimportant,Extremely unimportant,Somewhat unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,,"Same as with products, local food used, organic, natural, lactose free. Lots of great organic veggies. ",Somewhat important,Somewhat important,Extremely important,Somewhat important,,"Allow ratings to be added. A chat option. Recipe sharing. (Copy allowed), mark as closed or mark as not gluten free. Add new restaurants easily. ",Female,53,Celiac
3/1/2013 20:44:40,,,,,,,,,,,,,,,,,,,,,,,
3/2/2013 0:02:30,Somewhat important,Extremely important,Extremely important,Extremely important,Extremely important,,Don't care,Extremely important,Somewhat important,Extremely important,Somewhat important,Extremely important,,General understanding of gluten and gluten intolerance by servers & staff.,Extremely important,Extremely important,Extremely important,Extremely important,,,female,21,Celiac's Disease
3/2/2013 3:30:45,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,"Availability. It would also be nice to have it stated on all labels, instead of looking at all ingredients, and than having to call the manufacturer to verify it's GF.",Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Above covers it.,Extremely important,Extremely important,Extremely important,Somewhat important,,Prices,Female,43,Celiac Disease
3/2/2013 4:39:37,Somewhat important,Extremely important,Don't care,Extremely important,Extremely important,Availability of product,Somewhat important,Extremely important,Don't care,Extremely important,Extremely important,Extremely important,,Overall menu for the non GF diners.,Somewhat important,Somewhat important,Somewhat important,Somewhat important,,A What's New section which would include new options as well as changes to old options or removal of old options.,Female,16,Celiac Disease
3/2/2013 5:03:16,Extremely important,Extremely important,Somewhat important,Extremely important,Extremely important,It might be something I cannot quickly and easily make from scratch.,Somewhat important,Extremely important,Somewhat important,Extremely important,Extremely important,Extremely important,,Friendly and pleasant atmosphere.,Don't care,Somewhat important,Somewhat important,Somewhat important,,,F,65,Wheat allergy
3/2/2013 6:06:02,Don't care,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,,Don't care,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,,,Somewhat unimportant,Extremely unimportant,Extremely unimportant,Somewhat unimportant,,,Female,23,Celiac 
3/2/2013 6:41:04,Extremely important,Extremely important,Somewhat important,Somewhat important,Don't care,Does the gf product taste similar to the original gluten product. ,Somewhat unimportant,Somewhat important,Extremely important,Extremely important,Extremely important,Somewhat important,,,Somewhat important,Extremely important,Extremely important,Somewhat unimportant,,I would like to see the menu and pictures of menu items from reviews. ,Female,21,Celiac Disease
3/2/2013 7:07:32,Somewhat important,Extremely important,Extremely important,Somewhat important,Extremely important,,Somewhat unimportant,Extremely important,Somewhat important,Extremely important,Somewhat important,Extremely important,,nothing tops GF reliability. ,Somewhat unimportant,Somewhat important,Extremely important,Somewhat important,,"mark whether the restaurant is dedicated gluten free
hours might be nice (aka open now)
map search
making it yelp like would be nice.",F,30,Husband is Celiac
3/2/2013 8:01:53,Somewhat unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Somewhat unimportant,,Don't care,Extremely unimportant,Somewhat unimportant,Extremely unimportant,Somewhat unimportant,Extremely unimportant,,,Somewhat unimportant,Extremely unimportant,Extremely unimportant,Somewhat unimportant,,,Female,44,Family members must eat GF
3/2/2013 8:22:10,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,"Clearly labeled GF, price competitive with non GF products.",Somewhat important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,"Cleanliness, separate GF food prep area, thorough server education knowledge of GF diet and dangers of cross contamination.",Extremely important,Extremely important,Extremely important,Extremely important,,,Female,48,Celiac Disease
3/2/2013 12:08:16,Somewhat important,Extremely important,Somewhat important,Extremely important,Extremely important,,Somewhat unimportant,Extremely important,Somewhat unimportant,Extremely important,Extremely important,Extremely important,,,Somewhat important,,Somewhat important,,,,Female,17,Gluten sensitivity
3/2/2013 19:40:31,,,,,,,,,,,,,,,,,,,,,female,,
3/2/2013 19:55:34,Somewhat important,Extremely important,Extremely important,Extremely important,Extremely important,"That its certified GF; that its packaged in
 a gf facility or organic.",Somewhat important,Extremely important,Somewhat important,Somewhat important,Somewhat important,Extremely important,,"Knowing that there's a dedicated space in the kitchen with different pots & pans, grills, Druses, etc.",Somewhat important,Somewhat important,Somewhat important,Somewhat important,,,female,50's,Celiac
3/3/2013 20:00:02,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Selection and clear ingredients list.  Most who are celiac and/or glutin intolerance have food allergies.,Don't care,Extremely important,Somewhat important,Extremely important,Extremely important,Extremely important,,Online access and clear andingredients detail ingredient list,Extremely important,Extremely important,Extremely important,Extremely important,,Chat room,female,,Gluten and corn intolerance and other food allergies 
3/3/2013 20:00:14,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Selection and clear ingredients list.  Most who are celiac and/or glutin intolerance have food allergies.,Don't care,Extremely important,Somewhat important,Extremely important,Extremely important,Extremely important,,Online access and clear andingredients detail ingredient list,Extremely important,Extremely important,Extremely important,Extremely important,,Chat room,female,,Gluten and corn intolerance and other food allergies 
